tweet,sentiment_label
b'RT @ZeldaFan180: My 2020 Dream Tickets:\n1) Pete Buttigieg/Kamala Harris \n2) Kamala Harris/Pete Buttigieg \n3) Pete Buttigieg/Amy Klobuchar\xe2\x80\xa6',Neutral
b'My 2020 Dream Tickets:\n1) Pete Buttigieg/Kamala Harris \n2) Kamala Harris/Pete Buttigieg \n3) Pete Buttigieg/Amy Klob\xe2\x80\xa6 https://t.co/X28fWtHJmn',Neutral
b'RT @johnrselig: It Matters That Pete Buttigieg Is Gay - The Atlantic\n\nThis is an important article to read. I totally agree with the articl\xe2\x80\xa6',Positive
b'"These facets of their identities mean that they can understand the powerless, as victims of power, and that they c\xe2\x80\xa6 https://t.co/uGojJxn6IA',Negative
b'RT @patsyhoefler: Think about this scenario; Pete Buttigieg is picked as VP running mate.  The Democrats win. Mike and Karen Pence must rec\xe2\x80\xa6',Positive
b'Pete Buttigieg Explains His Agenda For Black Voters https://t.co/3IA7bccRKC we shall \xf0\x9f\x91\x80 #Blacktwitter #2020Election',Negative
b'RT @a35362: The Insanity of Democrats Attacking Buttigieg\nfor Not Being Gay Enough\nhttps://t.co/sPXLiD1cjV #petebuttigieg #2020election #lg\xe2\x80\xa6',Positive
b'It Matters That Pete Buttigieg Is Gay - The Atlantic\n\nThis is an important article to read. I totally agree with th\xe2\x80\xa6 https://t.co/YChGOq9Zfp',Positive
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b'David Brooks on why you love @PeteButtigieg #2020election https://t.co/34YDxTz3mp',Positive
b'Conservatives Better Stop Cheering and Start Fearing Pete Buttigieg\nhttps://t.co/msbdqsBYpY #PeteButtigieg\xe2\x80\xa6 https://t.co/ZXlqKX2OXE',Positive
b'The Insanity of Democrats Attacking Buttigieg\nfor Not Being Gay Enough\nhttps://t.co/sPXLiD1cjV #petebuttigieg\xe2\x80\xa6 https://t.co/WW1ZSB0yus',Positive
b'RT @a35362: Buttigieg says Trump can only be beaten with ideas, not investigations\nhttps://t.co/gleOcpUt1X #PeteButtigieg #2020election htt\xe2\x80\xa6',Neutral
b'Buttigieg says Trump can only be beaten with ideas, not investigations\nhttps://t.co/gleOcpUt1X #PeteButtigieg\xe2\x80\xa6 https://t.co/dckZp58uJP',Neutral
b'4:39 Pete Buttigieg is raising serious cash. Is he a serious 2020 contender?\nhttps://t.co/l6E4lmeJkr #2020election\xe2\x80\xa6 https://t.co/NoiIeKtDdg',Negative
b'RT @a35362: Our First \xe2\x80\x98First Gentleman\xe2\x80\x99 Could Be Pete Buttigieg\xe2\x80\x99s Husband\nhttps://t.co/wOfVK7OZOf #PeteButtigieg #ChasenButtigieg #lgbt #20\xe2\x80\xa6',Positive
b'Our First \xe2\x80\x98First Gentleman\xe2\x80\x99 Could Be Pete Buttigieg\xe2\x80\x99s Husband\nhttps://t.co/wOfVK7OZOf #PeteButtigieg\xe2\x80\xa6 https://t.co/duaNLksLTA',Positive
b'RT @a35362: The Insanity of Democrats Attacking Buttigieg\nfor Not Being Gay Enough\nhttps://t.co/sPXLiD1cjV #petebuttigieg #2020election #lg\xe2\x80\xa6',Positive
b'The Insanity of Democrats Attacking Buttigieg\nfor Not Being Gay Enough\nhttps://t.co/sPXLiD1cjV #petebuttigieg\xe2\x80\xa6 https://t.co/bWyWOR5loW',Positive
b'Buttigieg says Trump can only be beaten with ideas, not investigations\nhttps://t.co/gleOcpUt1X #PeteButtigieg\xe2\x80\xa6 https://t.co/aSMPkFlmQ5',Neutral
b'RT @a35362: 11:28 Mayor Pete Buttigieg | Real Time with Bill Maher (HBO)\nhttps://t.co/XIWe4xKSfy #PeteButtigieg #2020election #peteforameri\xe2\x80\xa6',Positive
b'11:28 Mayor Pete Buttigieg | Real Time with Bill Maher (HBO)\nhttps://t.co/XIWe4xKSfy #PeteButtigieg #2020election\xe2\x80\xa6 https://t.co/JZSEEVR6Zf',Positive
b'4:39 Pete Buttigieg is raising serious cash. Is he a serious 2020 contender?\nhttps://t.co/l6E4lmeJkr #2020election\xe2\x80\xa6 https://t.co/0IdwROoIT5',Negative
b'Check out this 2020 election forecast via @270toWin https://t.co/d1MI4tDTvU #2020election Buttigieg vs. Trump. Mayo\xe2\x80\xa6 https://t.co/E7BWTaWrtb',Neutral
b'#MayorPete, #Beto, and the All-Too-Familiar #Presidential #Archetype https://t.co/7sx0cruNCg via @ringer #News\xe2\x80\xa6 https://t.co/pEf4ZhK9Ao',Positive
b'I had an alliterative political premonition this week: President Pete! #PresidentPete! #Buttigieg  #2020Election #Democratic #DRC',Neutral
b'RT @ErinLaviola: Unsure how to correctly pronounce Buttigieg? This should (hopefully) clear it up: https://t.co/gkwzrK3Q4k\n\n#MayorPete @Hea\xe2\x80\xa6',Positive
